TestType,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,XDim,YDim,Iterations,TotalTime,ComputationTime,CommunicationTime
weak,4,32,8,14,32768,16384,500,12.0945,12.0464,1.3567
weak,16,128,8,14,65536,32768,500,12.4740,12.4837,1.8482
weak,8,64,8,14,32768,32768,500,11.4268,11.3726,0.6994
weak,1,8,8,14,16384,8192,500,11.7013,11.6403,0.8050
weak,2,16,8,14,16384,16384,500,11.5137,11.4646,0.7837
